id,date,What are the main sources of academic stress you experience as a university student?,How often do you feel overwhelmed by your academic workload?,Which of the following strategies do you use to manage academic stress? (Select all that apply),"On a scale from 1 to 10, how would you rate your overall mental health during the academic year?",What support services do you think would help improve your academic experience and mental health?
3ov6t8cufe9y7rm4fb7z,03-01-2023 05:29PM,I'm mainly stressed about preparing for exams.,Often,"Exercise, Time management, Meditation, Counselling services",7,Study groups or peer mentorship programs would help.
yyctcikk5cid21taqsh4,30-08-2024 01:46PM,I often worry about meeting assignment deadlines.,Never,"Exercise, Seeking help from friends, Time management",2,Maybe having easier access to academic advisors would be nice.
rop2c0l03dm8nwiuj0cv,23-07-2023 09:27PM,Balancing work and studies is challenging for me.,Rarely,Seeking help from friends,9,Flexible deadlines for assignments could reduce stress.
tlufpfycho6ovi8eqeoz,11-11-2023 12:53AM,I feel stressed when I have multiple priorities at once.,Never,Exercise,2,Workshops to raise mental health awareness would be helpful.
w1omi572qlluoa3ofe4u,29-08-2024 12:02AM,The pressure of tuition fees is a big concern for me.,Always,"Counselling services, Exercise, Seeking help from friends",7,More financial aid options would reduce tuition stress.
x3fg34sh1r8q8h0hd0bo,02-07-2023 10:58AM,Group projects can be stressful due to lack of coordination.,Sometimes,"Exercise, Time management",2,Easier access to counseling services would help a lot.
6xktieqlufdh9fzk2yk6,06-08-2024 04:01PM,I'm mainly stressed about preparing for exams.,Often,Seeking help from friends,1,Study groups or peer mentorship programs would help.
c45w5mfcaojfj6p1xwpb,19-08-2024 06:11AM,I often worry about meeting assignment deadlines.,Never,"Exercise, Time management",10,Maybe having easier access to academic advisors would be nice.
hpi04vtvyu3wz8zzc0k5,15-01-2023 07:15AM,Balancing work and studies is challenging for me.,Rarely,Meditation,6,Flexible deadlines for assignments could reduce stress.
z9muojjylx06d6zyzkdd,04-12-2024 05:42AM,I feel stressed when I have multiple priorities at once.,Always,"Time management, Exercise, Seeking help from friends",10,Workshops to raise mental health awareness would be helpful.
tu0pd0tc0ozgeqhp931w,11-10-2023 02:45PM,The pressure of tuition fees is a big concern for me.,Rarely,"Meditation, Time management, Counselling services",3,More financial aid options would reduce tuition stress.
it2ttts2t53hd63ar0bn,18-03-2023 04:48AM,Group projects can be stressful due to lack of coordination.,Often,Meditation,8,Easier access to counseling services would help a lot.
rkrdxwxkxpottgtyowha,29-05-2023 09:02AM,I'm mainly stressed about preparing for exams.,Always,"Seeking help from friends, Time management, Counselling services",5,Study groups or peer mentorship programs would help.
37crjy9chea3hpp70rgg,07-10-2024 12:56PM,I often worry about meeting assignment deadlines.,Never,"Time management, Meditation, Exercise",9,Maybe having easier access to academic advisors would be nice.
f3vkza2om7zmkh8jxoca,08-01-2023 06:10AM,Balancing work and studies is challenging for me.,Always,"Time management, Exercise",7,Flexible deadlines for assignments could reduce stress.
suu7pymuklhnlptbcq06,11-01-2023 08:07PM,I feel stressed when I have multiple priorities at once.,Always,Seeking help from friends,3,Workshops to raise mental health awareness would be helpful.
lr6487odjeh84fb5ihwl,25-07-2023 05:51AM,The pressure of tuition fees is a big concern for me.,Always,Counselling services,1,More financial aid options would reduce tuition stress.
rr4ijjqkfcnkyw28n2rt,09-10-2024 04:58PM,Group projects can be stressful due to lack of coordination.,Often,Counselling services,9,Easier access to counseling services would help a lot.
x8879pwnwnonmnzc1wpb,10-11-2023 06:25AM,I'm mainly stressed about preparing for exams.,Often,"Seeking help from friends, Exercise, Meditation, Counselling services",8,Study groups or peer mentorship programs would help.
pbkcj6nlynrd4ysl74m6,15-11-2024 01:13AM,I often worry about meeting assignment deadlines.,Never,Exercise,3,Maybe having easier access to academic advisors would be nice.
